accelX,accelY,accelZ,label
0.564,-0.614,-1.309,0
0.531,-0.501,-1.701,0
0.655,-0.344,-1.883,0
0.706,-0.181,-2.102,0
0.735,-0.09,-2.306,0
0.758,0.114,-2.484,0
0.602,0.2,-2.324,0
0.435,0.261,-2.101,0
0.292,0.362,-1.943,0
0.044,0.306,-1.854,0
-0.151,0.337,-1.789,0
-0.056,0.489,-1.839,0
0.107,0.543,-1.928,0
0.112,0.533,-1.925,0
0.469,0.684,-1.449,0
0.465,0.678,-1.447,0
0.828,0.676,-0.14,0
0.832,0.6,0.618,0
0.606,0.393,1.043,0
0.388,0.31,1.287,0
0.284,0.265,1.057,0
0.204,0.434,0.561,0
0.188,0.526,0.292,0
0.21,0.504,0.298,0
0.149,0.465,0.91,0
0.208,0.342,1.436,0
0.296,0.263,1.831,0
0.551,0.339,1.89,0
0.597,0.421,2.017,0
0.767,0.706,1.71,0
0.944,0.919,1.352,1
1.087,0.917,1.039,1
0.861,0.927,1.203,1
0.207,0.888,1.321,1
-0.338,0.907,1.089,1
-0.585,1.099,0.684,1
-0.513,1.095,0.589,1
0.144,0.813,0.702,1
0.733,0.404,1.307,1
1.146,-0.549,3.251,1
0.866,-1.257,4.869,1
0.218,-1.896,6.172,1
-0.239,-1.942,5.296,1
-0.424,-1.644,2.713,1
-0.372,-1.142,0.491,1
-0.397,-0.792,-1.108,1
-0.455,-0.476,-2.184,1
-0.513,-0.292,-2.55,1
-0.482,-0.278,-2.302,1
-0.262,-0.282,-1.798,1
-0.066,-0.363,-1.598,1
0.182,-0.426,-1.391,0
0.335,-0.485,-1.155,0
0.48,-0.359,-1.357,0
0.61,-0.185,-1.671,0
0.7,-0.091,-1.9,0
0.64,-0.079,-2.06,0
0.579,-0.087,-2.136,0
0.526,-0.128,-2.002,0
0.39,-0.236,-1.659,0
0.283,-0.281,-1.321,0
0.283,-0.238,-1.062,0
0.356,-0.067,-0.704,0
0.357,-0.065,-0.705,0
0.252,0.268,-0.982,0
0.174,0.41,-1.308,0
0.143,0.46,-1.383,0
0.152,0.456,-1.381,0
0.151,0.397,-1.122,0
0.141,0.266,-0.938,0
0.152,0.191,-0.734,0
0.111,0.002,-0.373,0
0.013,-0.103,-0.064,0
0.063,-0.148,0.186,0
0.049,-0.132,0.26,0
0.181,0.027,-0.055,0
0.36,0.263,-0.318,0
0.442,0.462,-0.492,0
0.494,0.452,-0.513,0
0.527,0.408,0.176,0
0.466,0.26,0.824,0
0.484,0.162,1.349,0
0.441,-0.034,2.047,0
0.17,-0.137,2.21,0
0.143,-0.125,1.472,0
0.269,-0.287,0.683,0
0.345,-0.445,0.861,0
0.347,-0.232,1.441,0
0.297,0.036,1.508,1
-0.028,0.613,1.062,1
-0.143,1.024,0.411,1
0.274,1.161,-0.357,1
0.854,0.887,-0.659,1
1.368,0.21,0.552,1
1.394,-0.812,2.569,1
1.373,-0.728,2.546,1
0.252,-2.347,6.613,1
0.182,-2.391,6.292,1
0.376,-2.014,4.437,1
0.772,-1.323,1.769,1
0.924,-0.867,0.512,1
0.838,-0.499,-0.647,1
0.707,-0.373,-1.21,1
0.547,-0.403,-1.407,1
0.535,-0.463,-1.27,1
0.631,-0.589,-0.93,1
0.717,-0.723,-0.654,1
0.87,-0.638,-0.634,1
1.124,-0.431,-1.044,1
1.416,-0.15,-1.526,0
1.503,0.054,-2.052,0
1.38,0.295,-2.732,0
1.19,0.314,-2.946,0
0.962,0.262,-2.581,0
0.752,0.191,-2.017,0
0.584,0.081,-1.694,0
0.298,0.12,-1.775,0
0.132,0.143,-2.059,0
0.099,0.263,-2.181,0
0.154,0.453,-2.399,0
0.216,0.543,-2.459,0
0.236,0.538,-2.457,0
0.83,0.84,-1.737,0
0.835,0.844,-1.738,0
0.369,0.212,-0.269,0
0.227,-0.013,0.335,0
0.193,-0.113,0.801,0
0.173,-0.012,1.005,0
0.256,0.157,0.846,0
0.445,0.451,0.425,0
0.555,0.642,0.08,0
0.726,0.804,0.129,0
0.784,0.779,0.787,0
0.84,0.762,1.342,0
0.954,0.756,2.053,0
1.246,0.701,2.353,0
1.23,1.009,2.961,0
1.592,1.332,2.01,0
1.553,1.616,0.903,0
1.58,1.478,0.339,0
1.377,1.583,0.391,0
0.821,1.515,0.804,0
0.261,1.217,1.264,1
0.249,1.217,1.263,1
0.129,0.91,1.652,1
0.187,0.276,2.069,1
0.432,-0.562,2.596,1
0.483,-1.708,4.441,1
0.268,-2.257,5.877,1
-0.003,-2.311,5.909,1
-0.132,-2.013,3.842,1
-0.192,-1.505,1.462,1
-0.266,-1.103,-0.353,1
-0.456,-0.872,-1.672,1
-0.748,-0.763,-1.999,1
-0.965,-0.815,-1.61,1
-0.709,-0.803,-0.953,1
-0.135,-0.7,-0.365,1
0.265,-0.69,-0.337,1
0.694,-0.731,-0.394,1
0.902,-0.692,-0.643,1
0.807,-0.737,-0.999,1
0.716,-0.76,-1.33,1
0.616,-0.604,-1.724,0
0.61,-0.45,-2.237,0
0.576,-0.215,-2.864,0
0.48,-0.006,-2.905,0
0.468,0.207,-2.851,0
0.332,0.298,-2.29,0
0.327,0.297,-2.29,0
0.12,0.386,-1.806,0
0.038,0.312,-1.585,0
0.025,0.281,-1.26,0
0.028,0.284,-1.26,0
-0.12,0.14,-0.624,0
-0.22,0.11,-0.636,0
-0.16,0.106,-0.8,0
-0.072,0.162,-0.827,0
-0.003,0.164,-0.794,0
0.053,0.159,-0.825,0
0.097,0.133,-0.93,0
0.08,0.082,-0.843,0
0.095,0.1,-0.654,0
0.089,0.156,0.055,0
0.089,0.193,0.622,0
0.413,0.413,0.675,0
0.618,0.596,0.664,0
0.758,0.696,0.917,0
0.873,0.715,1.14,0
1.053,0.704,1.148,0
1.025,0.695,1.142,0
0.932,0.612,0.977,0
0.786,0.445,0.99,0
0.803,0.428,0.996,0
0.103,0.003,1.346,1
-0.115,0.189,1.443,1
-0.457,0.531,1.395,1
-0.457,0.519,1.398,1
-0.569,1.406,0.146,1
0.606,1.211,-1.381,1
1.478,0.546,-1.033,1
1.646,-1.14,2.638,1
1.36,-2.239,5.566,1
0.62,-3.119,8.644,1
0.361,-3.09,8.653,1
0.338,-2.506,5.419,1
0.752,-1.445,1.781,1
1.133,-0.624,-0.666,1
1.156,0.031,-2.306,1
0.98,0.301,-2.617,1
0.863,0.268,-2.336,1
0.805,0.088,-1.709,1
0.83,-0.173,-1.249,1
0.859,-0.47,-0.885,1
0.709,-0.651,-0.659,1
0.879,-0.62,-0.728,0
1.162,-0.413,-0.921,0
1.166,-0.406,-0.922,0
1.437,0.008,-1.164,0
1.525,0.244,-1.608,0
1.483,0.369,-1.821,0
1.191,0.333,-1.789,0
0.9,0.254,-1.606,0
0.908,0.244,-1.603,0
0.418,0.23,-1.44,0
0.266,0.278,-1.486,0
0.294,0.372,-1.601,0
0.312,0.356,-1.596,0
0.756,0.723,-1.765,0
0.905,0.702,-1.434,0
0.886,0.552,-0.79,0
0.884,0.551,-0.79,0
0.773,-0.005,0.761,0
0.646,-0.3,1.351,0
0.454,-0.465,1.271,0
0.313,-0.431,0.691,0
