accelX,accelY,accelZ,label
0.02,-0.847,-1.528,0
0.053,-0.963,-1.071,0
0.085,-1.007,-0.732,0
0.072,-0.984,-0.74,0
-0.149,-1.27,-0.064,0
-0.199,-1.354,0.522,0
-0.119,-1.247,0.783,0
0.004,-1.026,0.657,0
0.12,-0.855,0.137,0
0.195,-0.689,-0.642,0
0.187,-0.701,-0.638,0
0.196,-0.381,-1.36,0
0.276,-0.259,-1.408,0
0.354,-0.13,-1.328,0
0.403,-0.074,-1.198,0
0.4,-0.059,-1.203,0
0.672,0.069,-0.735,0
0.593,0.1,-0.422,0
0.506,0.073,-0.181,0
0.372,-0.003,0.127,0
0.198,-0.011,0.138,0
0.095,0.074,-0.203,0
0.055,0.124,-0.532,0
-0.028,0.134,-0.861,0
-0.073,0.241,-1.031,0
-0.06,0.388,-1.127,0
0.079,0.514,-1.152,0
0.219,0.714,-0.946,0
0.244,0.813,-0.781,0
0.107,0.831,-0.688,0
-0.058,0.804,-0.681,0
-0.259,0.75,-0.561,0
-0.173,0.815,-0.482,0
0.066,0.972,-0.474,0
0.157,1.054,-0.263,0
0.194,1.068,0.341,0
0.153,1.052,0.58,0
-0.007,1.059,0.739,0
-0.114,0.998,0.793,0
-0.133,0.967,0.738,0
0.024,1.02,0.645,1
0.192,1.032,0.557,1
0.255,1.02,0.588,1
0.381,0.871,0.689,1
0.39,0.776,1.025,1
0.296,0.659,1.355,1
0.351,0.577,1.372,1
0.336,0.62,1.136,1
0.145,0.792,0.881,1
0.152,0.748,0.895,1
-0.465,0.94,-0.599,1
-0.35,1.017,-1.609,1
-0.061,1.098,-1.989,1
0.21,0.751,-1.401,1
0.992,0.599,-0.929,1
1.395,0.689,0.427,1
1.128,0.394,1.637,1
0.609,-0.258,2.873,1
0.172,-0.502,3.408,1
-0.273,-0.901,3.918,1
-0.372,-1.09,4.142,1
-0.11,-1.09,3.955,0
0.155,-1.122,3.386,0
0.106,-1.349,2.582,0
0.124,-1.348,2.581,0
-0.207,-1.719,2.083,0
-0.166,-1.689,1.94,0
-0.06,-1.562,1.571,0
0.169,-1.463,1.148,0
0.331,-1.265,0.486,0
0.381,-1.103,-0.16,0
0.428,-0.916,-1.064,0
0.511,-0.812,-1.67,0
0.639,-0.564,-2.341,0
0.754,-0.381,-2.639,0
0.841,-0.214,-2.725,0
0.817,-0.201,-2.568,0
0.671,-0.214,-2.235,0
0.407,-0.332,-1.977,0
0.414,-0.325,-1.979,0
0.129,-0.429,-1.3,0
0.023,-0.344,-1.247,0
-0.033,-0.287,-1.266,0
-0.017,-0.182,-1.406,0
-0.037,-0.113,-1.517,0
-0.114,-0.05,-1.568,0
-0.117,-0.047,-1.569,0
-0.155,-0.098,-1.244,0
-0.03,-0.011,-0.995,0
0.127,0.141,-0.608,0
0.144,0.213,-0.308,0
